Time,unit_Time,Cella_1,unit_1,Cella_2,unit_2,Cella_3,unit_3,Cella_4,unit_4,SG600_main,unit_main,SG600_temp,unit_temp
11.48858,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
11.58981,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
11.69175,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
11.79326,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
11.89504,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
11.99888,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
12.10096,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
12.20176,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
12.30315,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
12.40672,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
12.50802,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
12.60897,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
12.70968,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
12.8105,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
12.91398,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
13.0166,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
13.11754,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
13.22104,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
13.32226,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
13.42379,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
13.52529,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
13.626,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
13.72738,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
13.82849,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
13.92954,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
14.03117,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
14.13254,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
14.23699,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
14.34094,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
14.44249,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
14.54386,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
14.65837,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
14.76038,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
14.87559,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
14.97678,s,0.0,mV,-3.25,mV,0.0,mV,-0.08,mV,1,mV,1,mV
